date,satellite,cloud_pct,status,season,threshold,action
2025-12-19,Sentinel-2A,54.7,REJECTED,Rabi,25,Skipped — cloud cover 54.7% exceeds 25% Rabi QA threshold
2025-12-19,Sentinel-2B,100.0,REJECTED,Rabi,25,Skipped — cloud cover 100.0% exceeds 25% Rabi QA threshold
2025-12-19,Sentinel-2B,61.9,REJECTED,Rabi,25,Skipped — cloud cover 61.9% exceeds 25% Rabi QA threshold
2025-12-22,Sentinel-2B,0.0,ACCEPTED,Rabi,25,Used in composite — NDVI extracted at 208 points
2025-12-22,Sentinel-2B,20.0,ACCEPTED,Rabi,25,Used in composite — NDVI extracted at 208 points
2025-12-24,Sentinel-2C,2.5,ACCEPTED,Rabi,25,Used in composite — NDVI extracted at 208 points
2025-12-24,Sentinel-2C,0.1,ACCEPTED,Rabi,25,Used in composite — NDVI extracted at 208 points
2025-12-27,Sentinel-2C,20.5,ACCEPTED,Rabi,25,Used in composite — NDVI extracted at 208 points
2025-12-27,Sentinel-2C,44.5,REJECTED,Rabi,25,Skipped — cloud cover 44.5% exceeds 25% Rabi QA threshold
2025-12-29,Sentinel-2B,89.8,REJECTED,Rabi,25,Skipped — cloud cover 89.8% exceeds 25% Rabi QA threshold
2025-12-29,Sentinel-2B,98.5,REJECTED,Rabi,25,Skipped — cloud cover 98.5% exceeds 25% Rabi QA threshold
2025-12-29,Sentinel-2B,87.5,REJECTED,Rabi,25,Skipped — cloud cover 87.5% exceeds 25% Rabi QA threshold
2025-12-29,Sentinel-2B,78.7,REJECTED,Rabi,25,Skipped — cloud cover 78.7% exceeds 25% Rabi QA threshold
2026-01-01,Sentinel-2B,99.0,REJECTED,Rabi,25,Skipped — cloud cover 99.0% exceeds 25% Rabi QA threshold
2026-01-01,Sentinel-2B,100.0,REJECTED,Rabi,25,Skipped — cloud cover 100.0% exceeds 25% Rabi QA threshold
2026-01-03,Sentinel-2C,80.5,REJECTED,Rabi,25,Skipped — cloud cover 80.5% exceeds 25% Rabi QA threshold
2026-01-03,Sentinel-2C,99.1,REJECTED,Rabi,25,Skipped — cloud cover 99.1% exceeds 25% Rabi QA threshold
