point_id,longitude,latitude,original_class,original_name,original_landuse,rabi_max,spring_max,prekharif_max,prekharif_mean,flood_ndwi_max,flood_mndwi_max,flood_ndvi_mean,kharif_max,kharif_mean,end_max,end_mean,annual_mean,annual_std,annual_min,annual_max,class_rabi_2025_26,class_kharif_2025
76.337736_30.728025,76.33773597285636,30.728025394164916,1,Wheat,wheat,0.5171935,0.9988723,0.1630847,0.12967303940000002,-0.13582584,0.056712963,0.23839009,0.8390027,0.5978306800000001,0.25974452,0.15718090883333333,0.47833345388429754,0.2754474635252879,0.07593189,0.9988723,Spring_Maize,Rice
76.338617_30.821849,76.33861676652617,30.821848829624063,1,Wheat,wheat,0.8990752,0.31230503,0.1154345,0.10218238959999999,,,,0.88505745,0.7814982850000001,0.6440771,0.34638024153846153,0.43436188368548384,0.29784188750878965,0.041296795,0.90759426,Wheat,Rice_Probable
76.338824_30.829245,76.33882394188781,30.829244966877127,1,Wheat,wheat,0.88105315,0.6276562,0.7960114,0.6869913860000001,-0.5814536,-0.082417585,0.6798669,0.81700754,0.7372908016666667,0.674945,0.559461056153846,0.5047261114881889,0.2131864758349856,0.053435113,0.88105315,Wheat,Other
76.338867_30.78711,76.33886678767016,30.787110321176087,1,Wheat,wheat+sugarcane,0.81032366,0.22899263,0.679511,0.242212293,-0.6986692,-0.42607123,0.8182126,0.7986348,0.6343821842857144,0.73489463,0.36928063769230773,0.43797726507086604,0.2826076082571498,0.062653564,0.92097265,Wheat,Kharif_Maize
76.339308_30.758595,76.33930773738875,30.758595111807107,4,Others,ladyfinger,0.71763325,0.6065379,0.69896907,0.522272697,-0.24164525,-0.044147428,0.3076142,0.7910112,0.6435056771428573,0.465625,0.3382591133333333,0.43855690130081304,0.14400866387406863,0.04038156,0.7910112,Wheat,Other
76.339485_30.85423,76.33948466009275,30.85422981817841,4,Others,okra+onion,0.8852565,0.28156114,0.2559495,0.21188844666666667,,,,0.8218644,0.7803748083333334,0.7952553,0.61140216,0.4824794328571428,0.2832410177252149,0.04172662,0.9208095,Wheat,Rice_Probable
76.339493_30.734233,76.33949287462436,30.734232737586368,1,Wheat,wheat,0.90419406,0.39822486,0.10307692,0.08284310250000002,-0.16698657,0.4136808,0.3556299,0.8357143,0.4877619760000001,0.3498008,0.28211482833333335,0.38632820226229503,0.29708358383367517,0.06419401,0.93467337,Wheat,Rice
76.339522_30.804246,76.33952241919195,30.80424597231152,1,Wheat,wheat,0.8808933,0.24043322,0.154,0.12883235850000002,-0.1392405,0.11934157,0.088435374,0.8215515,0.6533386550000001,0.4976672,0.3698951176923077,0.4041616553888888,0.28505313872887883,0.04122497,0.9228204,Wheat,Rice
76.33979_30.831039,76.33978981411703,30.831039436561845,4,Others,vegatble+muskmelon,0.34295082,0.9408576,0.113667116,0.0777288859,-0.21733588,0.035413153,0.29843643,0.8627859,0.5611956066666667,0.46879756,0.32096231538461534,0.510375854390625,0.2924432211553871,0.022367703,0.9408576,Spring_Maize,Rice
76.340129_30.795217,76.34012878696949,30.79521738099712,2,Maize_Tall,maize,0.79469204,0.79136693,0.5904437,0.5097793549999999,-0.62558424,-0.4573975,0.71458226,0.82638705,0.747591877142857,0.76336116,0.6288263469230769,0.6235750559055117,0.12272445102987636,0.06525339,0.83425415,Other,Kharif_Maize
76.340619_30.807934,76.34061885002538,30.807933782661213,1,Wheat,wheat,0.41527957,0.92924124,0.90188026,0.5790886009999999,,,,0.43037406,0.38999705833333326,0.57112265,0.4469988430769231,0.552537847328,0.22620615468515948,0.070342876,0.9444995,Spring_Maize,Other
76.341437_30.844195,76.34143653009487,30.84419490689035,4,Others,onion,0.90505296,0.31135532,0.19033816,0.1125504047,,,,0.8921613,0.79212909,0.54464287,0.2632459558333333,0.471022318576,0.3137713643232076,0.020180933,0.94242096,Wheat,Rice_Probable
76.342355_30.767406,76.34235526401403,30.76740552643507,4,Others,(long) sugarcane,0.90615267,0.33835617,0.7935373,0.686317968,,,,0.8686297,0.7249217442857142,0.64341086,0.4890323925,0.4744129056097561,0.2641720892728722,0.0726257,0.90615267,Wheat,Kharif_Maize
76.343688_30.727964,76.34368821251354,30.72796390224372,4,Others,cabbage,0.52636176,0.5593395,0.2248996,0.14326721,-0.07393639,0.26881722,0.026045777,0.8383071,0.7549802066666667,0.70419425,0.46759051749999997,0.4337039087258065,0.24895209280141528,0.025177535,0.9303924,Other,Rice
76.343769_30.793917,76.34376863969742,30.793916570572435,2,Maize_Tall,maize,0.85292184,0.36609152,0.14221218,0.10890475449999999,-0.09270927,0.21518987,0.18670577,0.8935018,0.71386015,0.2548495,0.2119285938461538,0.4363745543333334,0.2869544059302729,0.07285897,0.9122766,Wheat,Rice
76.344395_30.733731,76.3443949114719,30.733730922643385,1,Wheat,wheat,0.8341885,0.5208333,0.41831502,0.306212584,-0.4141892,0.07635009,0.53783983,0.8647915,0.7577927179999999,0.76855004,0.4865945608333333,0.5138324248780488,0.21581522757511404,0.02812983,0.8798051,Wheat,Other
76.345257_30.735617,76.34525668165887,30.7356166952231,1,Wheat,wheat,0.9085366,0.4205021,0.2,0.146113429,-0.26137185,-0.3448607,0.26731956,0.79909366,0.719212265,0.5513627,0.3582665133333333,0.4191878586129031,0.28503922830244127,0.015782828,0.9086947,Wheat,Rice_Probable
76.345792_30.834135,76.3457924495507,30.83413500150333,1,Wheat,wheat,0.880597,0.2963443,0.13431014,0.12218568300000002,0.035388127,0.37009063,0.007751938,0.83182406,0.72638788,0.2763596,0.20979124846153846,0.4382633927380951,0.3066064189833499,0.007751938,0.9496995,Wheat,Rice
76.347917_30.82906,76.3479171843637,30.829060437263493,1,Wheat,wheat,0.8984557,0.35298452,0.15071507,0.12378740759999998,-0.094339624,0.4865135,0.103744626,0.8457429,0.7599554066666666,0.52472526,0.34898304416666664,0.423725713936508,0.2912889134825133,0.045863695,0.9128114,Wheat,Rice
